mgrname,mgrno,rdate,prdate,cusip,shares,no,change,stkname,ticker,indcode,prc,shrout1
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00282410,8537,,,ABBOTT LABS,ABT,,36.63,60
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00814010,19650,,,AETNA LIFE & CAS CO,AET,,32.63,81
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,00826110,434550,,,AFFILIATED PUBNS INC,AFP,,16.38,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02355110,7300,,-120610,AMERADA HESS CORP,AHC,,43.50,35
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02473510,246450,,,AMERICAN BROADCASTING COS,ABC,,32.00,28
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,02660910,11365,,-2400,AMERICAN HOME PRODS CORP,AHP,,24.63,156
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,03017710,68783,,-324,AMERICAN TEL & TELEG CO,T,,48.63,693
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,03948310,9508,,9508,ARCHER DANIELS MIDLAND CO,ADM,,28.63,35
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,04882510,11435,,-1300,ATLANTIC RICHFIELD CO,ARC,,85.13,115
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,07272310,33480,,,BAYBANKS INC,BBNK,,26.38,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,09179710,12367,,1690,BLACK & DECKER MFG CO,BDK,,19.00,42
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,09532910,3086303,,,BLUE CHIP STAMPS,BLUE,,17.00,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,13078910,153049,,,CALIFORNIA WTR SVC CO,CWTR,,28.75,1
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,14912310,15328,,-370,CATERPILLAR TRACTOR CO,CAT,,47.63,86
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,15242010,28179,,0,CENTRAL BANCORPORATION INC,CBAN,,19.13,5
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,15389910,10274,,-100,CENTRAL LA ENERGY CORP,CEL,,44.88,10
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,17856610,69457,,,CITY NATL CORP,CTYN,,24.00,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,18146810,117816,,62,CLARK J L MFG CO,CLRK,,27.25,4
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,18600010,873300,,,CLEVELAND CLIFFS IRON CO,CLF,,27.50,12
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,19416210,28293,,50,COLGATE PALMOLIVE CO,CL,,11.63,82
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,20279510,76530,,1668,COMMONWEALTH EDISON CO,CWE,,18.38,96
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,20923710,67400,,,CONSOLIDATED FREIGHTWAYS INC,CNF,,19.25,13
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,21209310,27600,,,CONTINENTAL TEL CORP,CTC,,13.75,51
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,21932710,8870,,,CORNING GLASS WKS,GLW,,50.00,18
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26054310,19902,,-100,DOW CHEM CO,DOW,,31.25,181
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26123810,10500,,,DOYLE DANE BERNBACH INTL INC,DOYL,,22.88,3
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,26159710,8500,,,DRESSER INDS INC,DI,,52.63,39
BERKSHIRE HATHAWAY INC,8350,03/31/1980,,27746110,10230,,-2230,EASTMAN KODAK CO,EK,,47.50,161
