tic,start_year,Last_active_year,Num_of_years
ABT,1950,2016,67
AET,1959,2016,93
AHC,2006,2016,11
ABC,1994,2017,24
AHP,2008,2016,9
T,1984,2016,33
ADM,1950,2016,67
ARC,2002,2016,15
BBNK,2000,2014,30
BDK,1950,2009,60
BLUE,2011,2016,6
CAT,1950,2016,67
CBAN,1998,2016,38
CEL,2004,2016,13
CLRK,1999,2006,8
CLF,1950,2016,67
CL,1950,2016,67
GLW,1950,2016,67
DI,2014,2016,3
ECON,2010,2016,7
XLO,1950,1985,36
XON,2011,2016,6
FMF,2013,2016,4
F,1950,2016,67
GCOR,1995,2004,10
GE,1950,2016,67
GF,1990,2016,27
GM,1950,2016,67
GTE,2005,2016,12
GT,1950,2016,67
HNH,1961,2016,56
HES,1969,2016,48
HON,1950,2016,67
IBM,1950,2016,67
IPG,1971,2016,46
MNTL,1958,1991,68
MCRP,1963,1986,48
MEG,1993,2015,23
MMM,1950,2016,67
MOB,2008,2009,2
NL,1950,2016,67
NBD,2010,2016,7
NSTM,1971,1980,10
NEBK,1963,1989,54
NBIC,1982,1992,22
OGIL,1965,1988,24
PFE,1950,2016,67
POS,1991,2006,16
POM,1951,2015,65
RVB,1950,1985,36
REX,1983,2016,34
ROPE,1971,1980,10
S,1962,2016,55
SQB,1961,1988,28
SD,2006,2016,11
SN,2008,2016,9
SUN,2009,2016,8
TGT,1966,2016,51
TX,2003,2016,14
TXT,1950,2016,67
JWT,1968,1986,19
TMC,1950,1999,50
UNP,1961,2016,56
WLA,1956,1999,44
WSC,1968,2010,43
BAX,1950,2016,67
CLL,1998,2003,6
ENS,2002,2016,15
CO,2007,2016,10
LC,2009,2016,8
AA,2011,2016,6
AVP,1950,2016,67
BA,1950,2016,67
CSX,1957,2016,60
GEC,1997,2017,21
P,2006,2016,11
VAL,1960,2016,57
WY,1950,2016,67
WRI,1974,2016,61
DLH,1963,1980,18
GJBC,1964,1982,38
CS,2000,2016,17
HBL,1950,1982,33
CMF,2007,2016,10
FRST,1993,2002,10
CSR,2002,2010,9
NWT,1969,1984,16
SFZ,1961,1984,24
SCI,1968,2016,49
BRY,1985,2012,28
LSI,1994,2016,41
GHB,1950,1986,37
AEG,1983,2016,34
SLB,1957,2016,60
CPA,2003,2016,14
ISS,2007,2013,7
MES,2008,2015,8
KO,1950,2016,67
MO,1950,2016,67
TMK,1959,2016,93
WFC,1958,2016,118
GS,1997,2016,40
