tic,IPO_year
AGN,1993.0
AGM,1993.0
CEL,2007.0
BOCH,2001.0
AGI,2000.0
VTHR,2010.0
SBRA,2010.0
AGD,2006.0
AGC,2007.0
LIFE,2015.0
NYT,1957.0
PCQ,2001.0
CS,2000.0
NYH,2003.0
PAGG,2008.0
AGX,1981.0
CIVB,1999.0
AGU,1993.0
ERIE,1995.0
NRCIA,1997.0
ERIC,1962.0
DWAQ,2003.0
BWP,2005.0
PEZ,2006.0
USNA,1995.0
KYO,1976.0
KYN,2004.0
BNCL,2007.0
AKO.B,1994.0
CRBP,2014.0
ITUB,2001.0
KRG,2004.0
VRTX,1991.0
BWA,1993.0
CHUY,2012.0
SPN,1992.0
BWG,2012.0
SPA,1960.0
SPB,1997.0
VRTS,1992.0
ECYT,2011.0
SPE,1993.0
VRTV,2014.0
ITUS,1985.0
GV,1968.0
GT,1950.0
GS,1999.0
XPL,2006.0
AWRE,1996.0
SAGE,2014.0
CBLI,2006.0
PKE,1961.0
MLNK,1994.0
SATS,2007.0
GG,1983.0
GF,1990.0
GE,1950.0
GD,1954.0
RDWR,1999.0
MEIP,2004.0
GM,1950.0
PMPT,2016.0
HONE,2016.0
MAS,1950.0
SNE,1962.0
MAT,1961.0
BKMU,2000.0
SNA,1968.0
SNN,1999.0
JNY,1991.0
DCP,2005.0
HIVE,2014.0
PKO,2007.0
SNV,1981.0
AMCN,2007.0
MAC,1994.0
ACLS,2000.0
MBSD,2014.0
MAG,2005.0
JNJ,1950.0
PYDS,1998.0
SNX,2003.0
MAN,1988.0
EVH,2015.0
EVI,1980.0
JBSS,1991.0
EVK,2006.0
BEN,1981.0
MGNX,2013.0
EVN,1999.0
CSL,1960.0
EVA,2015.0
GTIM,1990.0
TOPS,2004.0
EVF,2001.0
SCSC,1994.0
BSRR,1998.0
EVOK,2013.0
DSWL,1995.0
EVP,1999.0
ICUI,1992.0
NMY,1993.0
EVT,2004.0
IDCC,1981.0
EVV,2003.0
GHDX,2005.0
VLO,1980.0
MPLX,2012.0
TTS,2012.0
CSJ,2007.0
TDY,1999.0
SPI,2007.0
AGR,2015.0
ROPE,1974.0
TTI,1990.0
CNXN,1998.0
IPWR,2013.0
TTM,2003.0
TTC,1968.0
VLP,2013.0
VYMI,2016.0
TTF,1988.0
TTD,2016.0
PFIE,2011.0
FOGO,2015.0
ZN,2007.0
TPRE,2013.0
GRR,1994.0
CKH,1992.0
WSBC,1987.0
JDD,2004.0
ZF,2005.0
PFIN,1964.0
SSYS,1994.0
VST,2016.0
GMRE,2014.0
GRF,1990.0
USLM,1971.0
CEVA,2000.0
ZX,2011.0
GRC,1971.0
PFIS,2012.0
GRA,1951.0
CSB,2015.0
GARS,2013.0
NAKD,2012.0
SLRC,2010.0
NOM,1994.0
AMRB,1999.0
WPCS,2000.0
FTCS,2006.0
RLGY,2006.0
BIP,2008.0
NOK,1994.0
AVHI,1981.0
GSVC,2011.0
HLT,1950.0
HLS,1986.0
NOA,2006.0
NOC,1950.0
QHC,2016.0
MRAM,2016.0
HLI,2015.0
HLG,2015.0
TJX,1962.0
GSK,1960.0
NOW,2012.0
ATKR,2016.0
APDN,2010.0
CSX,1967.0
OLLI,2015.0
LXFR,2012.0
EPR,1997.0
RLGT,2009.0
RDY,1998.0
VBF,1982.0
SYPR,1994.0
CTS,1961.0
SPXX,2005.0
WEBK,2012.0
SPPI,1996.0
WSC,1968.0
GWGH,2014.0
BWXT,2010.0
CTG,1980.0
LBAI,1999.0
KYE,2005.0
CTB,1950.0
CCBG,1995.0
RAVE,1983.0
ZAGG,2007.0
CTO,1975.0
RFI,1993.0
SPH,1996.0
WHF,2012.0
CSV,1996.0
VSEC,1981.0
ARTW,1971.0
KTOS,1999.0
ARTX,1994.0
EIV,2003.0
INXN,2011.0
LNGR,2016.0
PLW,2007.0
WHR,1956.0
HYI,2010.0
CSR,2005.0
TAST,2006.0
PIO,2007.0
NGLS,2007.0
APVO,2016.0
ATEC,2006.0
FRO,2015.0
ARCX,2013.0
ATEN,2014.0
CVS,1950.0
FMBH,2009.0
GRFS,2009.0
YUMC,2016.0
V,2008.0
EFAS,2016.0
SGEN,2001.0
ERN,2010.0
EIA,2003.0
RLI,1977.0
NTAP,1995.0
EDD,2007.0
ZBRA,1991.0
PID,2005.0
EDI,2012.0
LMT,1950.0
CGNT,1998.0
VRTU,2007.0
EDR,2005.0
CZR,1990.0
SFUN,2010.0
ORM,2013.0
COMT,2014.0
ORI,1980.0
MIME,2015.0
LMB,2014.0
SPG,1993.0
ORC,2013.0
EVEP,2006.0
WST,1970.0
DPW,1996.0
ABAC,2010.0
VBFC,2003.0
PSEC,2005.0
COHN,2006.0
BATRA,2016.0
VXUS,2011.0
CTLT,2014.0
FARM,1963.0
FARO,1997.0
ADUS,2009.0
DPZ,2004.0
REGI,2012.0
SIFI,2004.0
FNJN,2013.0
WTFC,1998.0
FCBC,1999.0
GBLI,2003.0
COHR,1972.0
XPO,2002.0
ABAX,1992.0
RST,2009.0
COHU,1960.0
LE,2014.0
LB,1973.0
LC,2014.0
BLPH,2015.0
ONB,1987.0
EIM,2003.0
IRIX,1996.0
LM,1983.0
EQFN,2014.0
LH,1988.0
PGNX,1997.0
PTSI,1986.0
LW,2016.0
NVCR,2015.0
LTXB,2006.0
MNDO,2000.0
LQ,2014.0
IIM,1993.0
ONS,2016.0
ONP,2007.0
IIN,1962.0
III,2007.0
FORK,2015.0
CNTF,2005.0
BOOT,2014.0
MLR,1994.0
IMMY,2009.0
FORM,2003.0
KEYS,2014.0
KEYW,2010.0
LEDS,2011.0
NVGS,2012.0
FORD,1995.0
ANTM,2001.0
RDHL,2012.0
NVGN,1999.0
HEAR,2014.0
KVHI,1996.0
ERJ,2000.0
NBHC,2012.0
CBZ,1995.0
DMTX,2015.0
VALE,1999.0
EZPW,1991.0
AYTU,2014.0
CALX,2010.0
CFO,2014.0
XENE,2014.0
KERX,2000.0
MRLN,2003.0
GTYH,2016.0
CFG,2014.0
PNR,1972.0
OLBK,2003.0
OGIL,1966.0
PNW,1951.0
CFA,2014.0
PNI,2002.0
CALI,2008.0
PNK,1971.0
BYM,2003.0
PNM,1951.0
CALM,1996.0
SYBT,1993.0
STWD,2009.0
CALA,2014.0
PNC,1960.0
RUTH,2005.0
CFR,1977.0
FIZZ,1991.0
AAAP,2015.0
IUSV,2001.0
TRUP,2014.0
CBOE,2010.0
QTWO,2014.0
JBT,2008.0
ZAYO,2015.0
MSBF,2007.0
GIII,1989.0
TRUE,2014.0
BYD,1993.0
NX,2008.0
PRE,1993.0
RELY,1983.0
SAH,1997.0
PRA,1991.0
SAN,1987.0
SAM,1995.0
QINC,2014.0
PRO,2007.0
XENT,2014.0
PRI,1950.0
ASTE,1986.0
PRK,1990.0
PRU,2001.0
FTA,2007.0
JOB,1968.0
PRQR,2014.0
JOE,1989.0
RXDX,2013.0
RELL,1983.0
BLW,2004.0
SAR,2007.0
HYLS,2013.0
SAP,1996.0
XTLB,2005.0
DZSI,2016.0
AMPE,2010.0
SNY,2002.0
CHA,2002.0
PCOM,2006.0
CHD,1976.0
CHE,1971.0
JAX,1972.0
CHFC,1982.0
CHI,2002.0
AZRX,2016.0
CHK,1993.0
CHL,1997.0
SND,2016.0
ESND,1981.0
MCBC,1998.0
DFRG,2012.0
MRO,1950.0
DAKT,1994.0
CHU,2000.0
MRK,1950.0
CHFS,2012.0
CHY,2003.0
FELE,1965.0
NNBR,1994.0
WPM,2002.0
ESNT,2013.0
SNC,2014.0
FCE.A,1961.0
MUE,2001.0
AMRN,1993.0
SNAK,1996.0
STNG,2010.0
DBL,2012.0
ACGL,1995.0
BWINB,1972.0
PESI,1992.0
MTRN,1957.0
DBD,1950.0
MCFT,2015.0
APU,1995.0
ORAN,1997.0
ORBK,1984.0
ATU,1987.0
APO,2011.0
SUPN,2012.0
APB,1987.0
APC,1986.0
ORBC,2006.0
APA,1960.0
APF,1994.0
MTRX,1990.0
APD,1950.0
HIBB,1996.0
ADNT,2016.0
GBR,1982.0
DXPE,1996.0
HOPE,1996.0
TNAV,2010.0
GST,2011.0
WSCI,1961.0
CJJD,2008.0
DXPS,2013.0
NCOM,2015.0
PKBK,2002.0
TSM,1997.0
PFNX,2014.0
EWBC,1999.0
ABUS,1996.0
SNI,2008.0
TKF,1989.0
XRAY,1987.0
NLS,1999.0
AVGO,2009.0
EDBI,2015.0
HMY,1995.0
PLPM,2008.0
NLY,1997.0
SLQD,2013.0
VG,2006.0
CRESY,1997.0
UCTT,2004.0
DEST,1993.0
HMN,1991.0
OBAS,1999.0
TKR,1950.0
LPLA,2010.0
TCFC,2010.0
VKQ,1991.0
SNR,2014.0
HMG,1972.0
PIRS,2014.0
AVGR,2015.0
HMC,1969.0
AFL,1977.0
HTGM,2015.0
PAYX,1983.0
CSOD,2011.0
SLCT,2004.0
AFI,2016.0
GCI,2015.0
GCH,1992.0
BOBE,1970.0
AFG,1979.0
GCO,1950.0
G,2007.0
GCP,2016.0
W,2014.0
GCV,1995.0
AFT,2011.0
PAYC,2014.0
DLX,1966.0
CTRV,2014.0
SNP,2000.0
BTU,2001.0
BTT,2012.0
NPV,1993.0
SSY,1966.0
LULU,2007.0
PROV,1998.0
VBND,2014.0
AST,2014.0
XCO,1981.0
CBAK,2005.0
BTE,1994.0
SSL,1989.0
MEDP,2016.0
SSN,2008.0
SSI,1996.0
SOHO,2004.0
OVLY,2006.0
TIME,2014.0
LARK,1994.0
SSD,1994.0
BTO,1994.0
BTN,1995.0
BTI,1976.0
CBAY,2014.0
SSC,2007.0
SSB,1997.0
MFNC,2000.0
USEG,1975.0
DYNT,1984.0
CUTR,2004.0
TRHC,2016.0
TACO,2013.0
GPIC,1994.0
EVJ,1999.0
WYY,1996.0
PLG,2004.0
HFWA,1999.0
CRTO,2013.0
VGSH,2009.0
AXAS,1991.0
PGTI,2006.0
CRTN,1999.0
RMR,2016.0
ECF,1986.0
RMP,2014.0
LAND,2013.0
LANC,1969.0
BEL,2000.0
ECA,1961.0
NUO,1991.0
LNT,1958.0
ECL,1958.0
IPHS,2006.0
CSBR,1987.0
HPF,2003.0
ALQA,2011.0
LNN,1988.0
EXPO,1990.0
ARES,2014.0
RMD,1995.0
EMCB,2012.0
FLIR,1993.0
LNG,1996.0
ITGR,2000.0
LNC,1972.0
EXPD,1984.0
IONS,1991.0
ETFC,1996.0
B,1960.0
BBK,2002.0
CRWS,1969.0
CUBI,2012.0
BBH,2011.0
BBG,2004.0
BBF,2001.0
BBD,2000.0
BBC,2014.0
EBF,1960.0
TRIB,1992.0
CIBR,2015.0
YELP,2012.0
IDLB,2015.0
BBY,1985.0
BBX,1980.0
BBW,2004.0
DHT,2005.0
BBU,2016.0
BBT,1982.0
BSQR,1999.0
RELV,1993.0
BBP,2014.0
VMO,1992.0
NUE,1960.0
FRGI,2012.0
IKNX,1997.0
VMI,1968.0
TUP,1996.0
ETP,2000.0
SOCL,2012.0
ASMB,2010.0
VMC,1960.0
ADXS,2008.0
GFED,1998.0
YDIV,2013.0
SPAR,1984.0
LPTH,1996.0
FEMS,2012.0
BLIN,2007.0
JASO,2007.0
MUJ,1998.0
ALCO,1962.0
BLH,2002.0
HCLP,2012.0
CLGX,1980.0
AGRX,2014.0
STMP,1999.0
ANSS,1996.0
FRA,2004.0
NBIX,1996.0
AT,2004.0
AGRO,2011.0
CMS,1951.0
NBIC,1982.0
KRNT,2015.0
STML,2013.0
KRNY,2005.0
NKSH,1999.0
BEP,2001.0
BLCM,2014.0
CLI,1994.0
CYS,2009.0
FYC,2011.0
HMHC,2013.0
JNP,1988.0
NPTN,2011.0
ROKA,2014.0
AQMS,2015.0
GCOR,2000.0
POT,1989.0
CAMP,1983.0
POR,1958.0
POS,1992.0
FTXG,2016.0
PHIIK,1981.0
CBL,1993.0
POL,1993.0
POM,1951.0
CNET,2009.0
FTXD,2016.0
FYT,2011.0
CYD,1994.0
OAKS,2013.0
CYH,1991.0
NCMI,2007.0
CCCR,2013.0
ETW,2005.0
OSTK,2002.0
VCF,1993.0
OMCL,2001.0
SPWH,2014.0
CARV,1994.0
SKIS,2014.0
SMED,2007.0
CWT,1979.0
VCO,1994.0
LENS,2015.0
CWH,2016.0
SPWR,2005.0
MYSZ,2016.0
CLB,1995.0
VCV,1993.0
FWRD,1993.0
MILN,2016.0
SWM,1995.0
CSTE,2012.0
BLE,2003.0
FKU,2012.0
YUM,1997.0
CCCL,2007.0
CFRX,2014.0
TARO,1989.0
ARMK,2013.0
AIRG,2016.0
SNH,1999.0
AIRI,2011.0
TANH,2015.0
WTI,2005.0
PDM,2003.0
GLYC,2014.0
AIRR,2014.0
R,1957.0
AIRT,1982.0
SEED,2004.0
HMST,2012.0
NICE,1996.0
ENTA,2013.0
WPC,1998.0
PAR,1982.0
TTP,2011.0
JCAP,2015.0
PULM,2015.0
SRCE,1982.0
HIFS,1988.0
HIFR,2015.0
AAPL,1980.0
DFBG,2016.0
ENTL,2015.0
DGRS,2013.0
CHEF,2011.0
CSTR,2016.0
PAC,2006.0
BRSS,2013.0
FBHS,2011.0
EROS,2012.0
PAG,1996.0
DGRE,2013.0
PAI,1982.0
LSI,1995.0
TRTN,2016.0
CHEK,2015.0
DCO,1962.0
THRM,1993.0
DCI,1963.0
FUSB,1999.0
AMSF,2005.0
BPMC,2015.0
LKFN,1999.0
CDNS,1987.0
AWR,1979.0
CFNB,1987.0
GSB,2002.0
BPMX,2014.0
LIVE,2000.0
AROC,1997.0
AWK,2008.0
MQT,1992.0
AWI,2006.0
QTEC,2006.0
UAMY,1980.0
LIVN,1993.0
PERY,1993.0
CLS,1998.0
BGCP,1999.0
WEC,1951.0
BLUE,2013.0
MTCH,2015.0
YUME,2013.0
FCAU,1989.0
SIGI,1987.0
OAK,2012.0
GLOB,2014.0
SIGM,1986.0
WEN,1950.0
PXLW,2000.0
WES,2008.0
BONT,1991.0
HMNY,1997.0
CSPI,1982.0
GLOP,2014.0
X,1950.0
VMBS,2009.0
PETS,2001.0
CULP,1983.0
KF,1984.0
UBSH,1993.0
UBSI,1987.0
ANAT,1962.0
PLCE,1997.0
KE,2014.0
OII,1975.0
HMNF,1994.0
LSXMA,2013.0
OIA,1988.0
VLT,1989.0
PTNR,1999.0
NVMI,2000.0
ETY,2006.0
IHC,1982.0
OIS,2001.0
IHG,1990.0
UMBF,1974.0
SSNT,2012.0
AEP,1951.0
AMAG,1986.0
AER,2006.0
AET,1959.0
DMF,1988.0
AEY,1991.0
EGLT,2014.0
GBL,1999.0
CCJ,1991.0
ESGR,2007.0
WSBF,2005.0
KN,2014.0
AMAT,1972.0
GBT,2015.0
MHLD,2008.0
SWKS,1967.0
ISDR,2007.0
AEG,1985.0
LPCN,2013.0
SLCA,2012.0
AEM,1982.0
AEL,2003.0
AEO,1994.0
WBC,2007.0
BSBR,2009.0
FFIN,1993.0
MNGA,2008.0
SABR,2014.0
GPRO,2014.0
OPOF,1999.0
TRXC,2013.0
VTNR,2009.0
ANIP,2013.0
TILE,1983.0
MEET,1999.0
CTXS,1995.0
CTXR,2014.0
MGIC,1991.0
FFBC,1983.0
BUD,2009.0
ENPH,2012.0
XRM,2005.0
PIH,2014.0
C,1986.0
ZG,2011.0
NFEC,2007.0
AGND,2013.0
UMPQ,1998.0
WATT,2014.0
TMQ,2012.0
ALLE,2013.0
FFIV,1999.0
ALGN,2001.0
XRX,1950.0
VAC,2011.0
JMEI,2014.0
MSCC,1981.0
AXSM,2015.0
